#,TYPE,Bill No.,PONUM,DOCNUM,Document Date,Doc Due Date,Bill Type,itemcode/gl,Item Name,UOM,ItemGroup,HSN/sac,Bill Quantity,BASICVAL,LINETOTAL,Bill Value,TAX_RATE,TAXCODE,CGST,SGST,IGST,TCS,FREIGHT,Customer Code,Customer Name,Customer  Ref No.,Sale Employee Name,Bill To GSTIN,Ship To GSTIN,SHIP_TO_STATENAME,SHIP_TO_CITY,BILL_TO_STATENAME,BILL_TO_CITY,ADDRESS,SHIPTOADDRESS,BRANCH,WAREHOUSE,ORDER_NO,ORDER_DATE,ORDER_REF_NO,DELIVERY_DATE,STATUS,CREDIT_NOTE_CATEGORY,REMARKS,ORIGINAL_INVOICE_REFNO,WITHOUTQTY_POSTING,Tracking No
13,AR Invoice,Pri5,,5,12/02/2006,13/04/2006,I,A00004,HP Color Laser Jet 5,,Rainbow Printers,84.71.6021,5,28125,140625,903311.88,0,BED+VAT,0,0,0,0,0,C42000,Mashina Corporation,,Pitambar Ratna,,,,,,,,,,General Warehouse,5,30/01/06,,10/02/06,Closed,,Based On Sales Quotations 5. Based On Sales Orders 5. Based On Deliveries 5.,,,
14,AR Invoice,Pri5,,5,12/02/2006,13/04/2006,I,A00005,HP Color Laser Jet 4,,Rainbow Printers,84.71.6021,5,22500,112500,903311.88,0,BED+VAT,0,0,0,0,0,C42000,Mashina Corporation,,Pitambar Ratna,,,,,,,,,,General Warehouse,5,30/01/06,,10/02/06,Closed,,Based On Sales Quotations 5. Based On Sales Orders 5. Based On Deliveries 5.,,,
15,AR Invoice,Pri5,,5,12/02/2006,13/04/2006,I,P10001,"""""PC - P4 2.4G, DDR 512M, 400G HD""",,PC,85.24.9111,2,80875,161750,903311.88,0,BED+VAT,0,0,0,0,0,C42000,Mashina Corporation,,Pitambar Ratna,,,,,,,,,,General Warehouse,5,30/01/06,,10/02/06,Closed,,Based On Sales Quotations 5. Based On Sales Orders 5. Based On Deliveries 5.,,,
16,AR Invoice,Pri4,,4,16/02/2006,18/03/2006,I,LM4029MC,Memory Chip,,Accessories,85.24.9111,10,3375,33750,366189.41,0,BED+VAT,0,0,0,0,0,C23900,Parameter Technology,,Bhaskara Lakshmana,,,,,,,,,,General Warehouse,4,25/01/06,,04/02/06,Closed,,Based On Sales Quotations 4. Based On Sales Orders 4. Based On Deliveries 4.,,,
17,AR Invoice,Pri4,,4,16/02/2006,18/03/2006,I,A00003,IBM Infoprint 1226,,J.B. Printers,84.71.6021,6,20250,121500,366189.41,0,BED+VAT,0,0,0,0,0,C23900,Parameter Technology,,Bhaskara Lakshmana,,,,,,,,,,General Warehouse,4,25/01/06,,04/02/06,Closed,,Based On Sales Quotations 4. Based On Sales Orders 4. Based On Deliveries 4.,,,
18,AR Invoice,Pri4,,4,16/02/2006,18/03/2006,I,C00001,Motherboard P4 Turbo,,Items,84.71.3010,6,27000,162000,366189.41,0,BED+VAT,0,0,0,0,0,C23900,Parameter Technology,,Bhaskara Lakshmana,,,,,,,,,,General Warehouse,4,25/01/06,,04/02/06,Closed,,Based On Sales Quotations 4. Based On Sales Orders 4. Based On Deliveries 4.,,,
19,AR Invoice,Pri6,,6,09/03/2006,08/05/2006,I,C00009,Keyboard Comfort USB,,Items,84.71.3010,15,1125,16875,430382.16,0,BED+VAT,0,0,0,0,0,C30000,Microchips,,Lata Darshana,,,,,,,,,,General Warehouse,6,15/02/06,,25/02/06,Closed,,Based On Sales Quotations 8. Based On Sales Orders 6. Based On Deliveries 6.,,,
20,AR Invoice,Pri6,,6,09/03/2006,08/05/2006,I,C00008,Monitor 19' TFT,,Items,84.71.3010,10,11250,112500,430382.16,0,BED+VAT,0,0,0,0,0,C30000,Microchips,,Lata Darshana,,,,,,,,,,General Warehouse,6,15/02/06,,25/02/06,Closed,,Based On Sales Quotations 8. Based On Sales Orders 6. Based On Deliveries 6.,,,
21,AR Invoice,Pri6,,6,09/03/2006,08/05/2006,I,C00011,Memory DDR RAM 512 MB,,Items,84.71.3010,20,2250,45000,430382.16,0,BED+VAT,0,0,0,0,0,C30000,Microchips,,Lata Darshana,,,,,,,,,,General Warehouse,6,15/02/06,,25/02/06,Closed,,Based On Sales Quotations 8. Based On Sales Orders 6. Based On Deliveries 6.,,,
22,AR Invoice,Pri6,,6,09/03/2006,08/05/2006,I,C00010,Mouse USB,,Items,85.24.9111,20,1125,22500,430382.16,0,BED+VAT,0,0,0,0,0,C30000,Microchips,,Lata Darshana,,,,,,,,,,General Warehouse,6,15/02/06,,25/02/06,Closed,,Based On Sales Quotations 8. Based On Sales Orders 6. Based On Deliveries 6.,,,
23,AR Invoice,Pri6,,6,09/03/2006,08/05/2006,I,C00002,Motherboard P4 Turbo - Asus Chipset,,Items,84.71.3010,10,16875,168750,430382.16,0,BED+VAT,0,0,0,0,0,C30000,Microchips,,Lata Darshana,,,,,,,,,,General Warehouse,6,15/02/06,,25/02/06,Closed,,Based On Sales Quotations 8. Based On Sales Orders 6. Based On Deliveries 6.,,,
24,AR Invoice,Pri7,,7,15/03/2006,14/04/2006,I,P10002,"""""PC - P4 2.4G, DDR 1024M, 400G HD""",,PC,85.24.9111,2,77500,155000,513515.81,0,BED+VAT,0,0,0,0,0,C40000,Earthshaker Corporation,,Purushottam Nitya,,,Delhi,New Delhi,West Bengal,Kolkata,",208 Hollywood Ave,700 005,,Kolkata,WB,IN",,,General Warehouse,7,21/02/06,,03/03/06,Closed,,Based On Sales Quotations 9. Based On Sales Orders 7. Based On Deliveries 7.,,,
25,AR Invoice,Pri7,,7,15/03/2006,14/04/2006,I,A00003,IBM Infoprint 1226,,J.B. Printers,84.71.6021,10,16875,168750,513515.81,0,BED+VAT,0,0,0,0,0,C40000,Earthshaker Corporation,,Purushottam Nitya,,,Delhi,New Delhi,West Bengal,Kolkata,",208 Hollywood Ave,700 005,,Kolkata,WB,IN",,,General Warehouse,7,21/02/06,,03/03/06,Closed,,Based On Sales Quotations 9. Based On Sales Orders 7. Based On Deliveries 7.,,,
26,AR Invoice,Pri7,,7,15/03/2006,14/04/2006,I,A00002,IBM Infoprint 1222,,J.B. Printers,84.71.6021,10,11250,112500,513515.81,0,BED+VAT,0,0,0,0,0,C40000,Earthshaker Corporation,,Purushottam Nitya,,,Delhi,New Delhi,West Bengal,Kolkata,",208 Hollywood Ave,700 005,,Kolkata,WB,IN",,,General Warehouse,7,21/02/06,,03/03/06,Closed,,Based On Sales Quotations 9. Based On Sales Orders 7. Based On Deliveries 7.,,,
27,AR Invoice,Pri8,,8,19/03/2006,18/04/2006,I,A00006,HP 600 Series Inc,,Rainbow Printers,,10,27000,270000,311175,0,VAT@4,0,0,0,0,0,C20000,Norm Thompson,,Sales Manager,,,,,,,,,,General Warehouse,8,25/02/06,,07/03/06,Closed,,Based On Sales Quotations 10. Based On Sales Orders 8. Based On Deliveries 8.,,,
28,AR Invoice,Pri8,,8,19/03/2006,18/04/2006,I,B10000,Printer Label,,Items,,400,67.5,27000,311175,0,VAT@12.5,0,0,0,0,0,C20000,Norm Thompson,,Sales Manager,,,,,,,,,,General Warehouse,8,25/02/06,,07/03/06,Closed,,Based On Sales Quotations 10. Based On Sales Orders 8. Based On Deliveries 8.,,,
29,AR Invoice,Pri9,,9,27/03/2006,26/04/2006,I,A00001,IBM Infoprint 1312,,J.B. Printers,84.71.6021,8,27000,216000,514223.43,0,BED+VAT,0,0,0,0,0,C23900,Parameter Technology,,Bhaskara Lakshmana,,,,,,,,,,General Warehouse,9,05/03/06,,15/03/06,Closed,,Based On Sales Quotations 11. Based On Sales Orders 9. Based On Deliveries 9.,,,
30,AR Invoice,Pri9,,9,27/03/2006,26/04/2006,I,A00003,IBM Infoprint 1226,,J.B. Printers,84.71.6021,8,20250,162000,514223.43,0,BED+VAT,0,0,0,0,0,C23900,Parameter Technology,,Bhaskara Lakshmana,,,,,,,,,,General Warehouse,9,05/03/06,,15/03/06,Closed,,Based On Sales Quotations 11. Based On Sales Orders 9. Based On Deliveries 9.,,,
31,AR Invoice,Pri9,,9,27/03/2006,26/04/2006,I,LM4029MC,Memory Chip,,Accessories,85.24.9111,20,3375,67500,514223.43,0,BED+VAT,0,0,0,0,0,C23900,Parameter Technology,,Bhaskara Lakshmana,,,,,,,,,,General Warehouse,9,05/03/06,,15/03/06,Closed,,Based On Sales Quotations 11. Based On Sales Orders 9. Based On Deliveries 9.,,,
32,AR Invoice,Pri11,,11,01/04/2006,01/05/2006,I,C00006,Network Card10/100,,Items,84.71.3010,15,1012.5,15187.5,851195.59,0,BED+VAT,0,0,0,0,0,C60000,SG Electronics,,Lata Darshana,,,Tamil Nadu,Chennai,Karnataka,Bangalore,",67 Grant Ave,560 005,,Bangalore,KT,IN",,,General Warehouse,11,20/03/06,,30/03/06,Closed,,Based On Sales Quotations 13. Based On Sales Orders 11. Based On Deliveries 11.,,,
33,AR Invoice,Pri11,,11,01/04/2006,01/05/2006,I,C00008,Monitor 19' TFT,,Items,84.71.3010,20,13500,270000,851195.59,0,BED+VAT,0,0,0,0,0,C60000,SG Electronics,,Lata Darshana,,,Tamil Nadu,Chennai,Karnataka,Bangalore,",67 Grant Ave,560 005,,Bangalore,KT,IN",,,General Warehouse,11,20/03/06,,30/03/06,Closed,,Based On Sales Quotations 13. Based On Sales Orders 11. Based On Deliveries 11.,,,
34,AR Invoice,Pri11,,11,01/04/2006,01/05/2006,I,C00009,Keyboard Comfort USB,,Items,84.71.3010,20,1350,27000,851195.59,0,BED+VAT,0,0,0,0,0,C60000,SG Electronics,,Lata Darshana,,,Tamil Nadu,Chennai,Karnataka,Bangalore,",67 Grant Ave,560 005,,Bangalore,KT,IN",,,General Warehouse,11,20/03/06,,30/03/06,Closed,,Based On Sales Quotations 13. Based On Sales Orders 11. Based On Deliveries 11.,,,
35,AR Invoice,Pri11,,11,01/04/2006,01/05/2006,I,C00003,Intel P4 2.4 GhZ,,Items,84.71.3010,10,8775,87750,851195.59,0,BED+VAT,0,0,0,0,0,C60000,SG Electronics,,Lata Darshana,,,Tamil Nadu,Chennai,Karnataka,Bangalore,",67 Grant Ave,560 005,,Bangalore,KT,IN",,,General Warehouse,11,20/03/06,,30/03/06,Closed,,Based On Sales Quotations 13. Based On Sales Orders 11. Based On Deliveries 11.,,,
36,AR Invoice,Pri11,,11,01/04/2006,01/05/2006,I,C00007,Hard Disk Seagate 400 GB,,Items,85.24.9111,10,33750,337500,851195.59,0,BED+VAT,0,0,0,0,0,C60000,SG Electronics,,Lata Darshana,,,Tamil Nadu,Chennai,Karnataka,Bangalore,",67 Grant Ave,560 005,,Bangalore,KT,IN",,,General Warehouse,11,20/03/06,,30/03/06,Closed,,Based On Sales Quotations 13. Based On Sales Orders 11. Based On Deliveries 11.,,,
37,AR Invoice,Pri10,,10,07/04/2006,07/05/2006,I,S10000,Server Point 10000,,Servers,,5,103625,518125,1738770.17,0,CST@4,0,0,0,0,0,C50000,ADA Technologies,,Purushottam Nitya,,,Maharashtra,Mumbai,Delhi,New Delhi,",34 Highway 6,110 005,Suite 300,New Delhi,DL,IN",,,General Warehouse,10,16/03/06,,26/03/06,Closed,,Based On Sales Quotations 12. Based On Sales Orders 10. Based On Deliveries 10.,,,
38,AR Invoice,Pri10,,10,07/04/2006,07/05/2006,I,P10003,PC Set 1,,PC,85.24.9111,5,98000,490000,1738770.17,0,BED+VAT,0,0,0,0,0,C50000,ADA Technologies,,Purushottam Nitya,,,Maharashtra,Mumbai,Delhi,New Delhi,",34 Highway 6,110 005,Suite 300,New Delhi,DL,IN",,,General Warehouse,10,16/03/06,,26/03/06,Closed,,Based On Sales Quotations 12. Based On Sales Orders 10. Based On Deliveries 10.,,,
39,AR Invoice,Pri10,,10,07/04/2006,07/05/2006,I,P10004,PC Set 2,,Items,85.24.9111,5,105875,529375,1738770.17,0,BED+VAT,0,0,0,0,0,C50000,ADA Technologies,,Purushottam Nitya,,,Maharashtra,Mumbai,Delhi,New Delhi,",34 Highway 6,110 005,Suite 300,New Delhi,DL,IN",,,General Warehouse,10,16/03/06,,26/03/06,Closed,,Based On Sales Quotations 12. Based On Sales Orders 10. Based On Deliveries 10.,,,
40,AR Invoice,Pri12,,12,16/04/2006,16/05/2006,I,A00006,HP 600 Series Inc,,Rainbow Printers,,20,31500,630000,1380960.5,0,VAT@4,0,0,0,0,0,C70000,Aquent Systems,,Bhaskara Lakshmana,,,Karnataka,Bangalore,Maharashtra,Mumbai,",123 Kathryn Ave,400 001,,Mumbai,MH,IN",,,General Warehouse,12,25/03/06,,04/04/06,Closed,,Based On Sales Quotations 14. Based On Sales Orders 12. Based On Deliveries 12.,,,
41,AR Invoice,Pri12,,12,16/04/2006,16/05/2006,I,B10000,Printer Label,,Items,,100,78.75,7875,1380960.5,0,VAT@12.5,0,0,0,0,0,C70000,Aquent Systems,,Bhaskara Lakshmana,,,Karnataka,Bangalore,Maharashtra,Mumbai,",123 Kathryn Ave,400 001,,Mumbai,MH,IN",,,General Warehouse,12,25/03/06,,04/04/06,Closed,,Based On Sales Quotations 14. Based On Sales Orders 12. Based On Deliveries 12.,,,
42,AR Invoice,Pri12,,12,16/04/2006,16/05/2006,I,A00001,IBM Infoprint 1312,,J.B. Printers,84.71.6021,10,31500,315000,1380960.5,0,BED+VAT,0,0,0,0,0,C70000,Aquent Systems,,Bhaskara Lakshmana,,,Karnataka,Bangalore,Maharashtra,Mumbai,",123 Kathryn Ave,400 001,,Mumbai,MH,IN",,,General Warehouse,12,25/03/06,,04/04/06,Closed,,Based On Sales Quotations 14. Based On Sales Orders 12. Based On Deliveries 12.,,,
43,AR Invoice,Pri12,,12,16/04/2006,16/05/2006,I,A00003,IBM Infoprint 1226,,J.B. Printers,84.71.6021,10,23625,236250,1380960.5,0,BED+VAT,0,0,0,0,0,C70000,Aquent Systems,,Bhaskara Lakshmana,,,Karnataka,Bangalore,Maharashtra,Mumbai,",123 Kathryn Ave,400 001,,Mumbai,MH,IN",,,General Warehouse,12,25/03/06,,04/04/06,Closed,,Based On Sales Quotations 14. Based On Sales Orders 12. Based On Deliveries 12.,,,
44,AR Invoice,Pri12,,12,16/04/2006,16/05/2006,I,LM4029MC,Memory Chip,,Accessories,85.24.9111,20,3937.5,78750,1380960.5,0,BED+VAT,0,0,0,0,0,C70000,Aquent Systems,,Bhaskara Lakshmana,,,Karnataka,Bangalore,Maharashtra,Mumbai,",123 Kathryn Ave,400 001,,Mumbai,MH,IN",,,General Warehouse,12,25/03/06,,04/04/06,Closed,,Based On Sales Quotations 14. Based On Sales Orders 12. Based On Deliveries 12.,,,
45,AR Invoice,Pri13,,13,21/04/2006,21/05/2006,I,A00001,IBM Infoprint 1312,,J.B. Printers,84.71.6021,5,31500,157500,358450.56,0,BED+VAT,0,0,0,0,0,C70000,Aquent Systems,,Bhaskara Lakshmana,,,Karnataka,Bangalore,Maharashtra,Mumbai,",123 Kathryn Ave,400 001,,Mumbai,MH,IN",,,General Warehouse,13,30/03/06,,09/04/06,Closed,,Based On Sales Quotations 15. Based On Sales Orders 13. Based On Deliveries 13.,,,
46,AR Invoice,Pri13,,13,21/04/2006,21/05/2006,I,A00003,IBM Infoprint 1226,,J.B. Printers,84.71.6021,5,23625,118125,358450.56,0,BED+VAT,0,0,0,0,0,C70000,Aquent Systems,,Bhaskara Lakshmana,,,Karnataka,Bangalore,Maharashtra,Mumbai,",123 Kathryn Ave,400 001,,Mumbai,MH,IN",,,General Warehouse,13,30/03/06,,09/04/06,Closed,,Based On Sales Quotations 15. Based On Sales Orders 13. Based On Deliveries 13.,,,
47,AR Invoice,Pri13,,13,21/04/2006,21/05/2006,I,LM4029MC,Memory Chip,,Accessories,85.24.9111,10,3937.5,39375,358450.56,0,BED+VAT,0,0,0,0,0,C70000,Aquent Systems,,Bhaskara Lakshmana,,,Karnataka,Bangalore,Maharashtra,Mumbai,",123 Kathryn Ave,400 001,,Mumbai,MH,IN",,,General Warehouse,13,30/03/06,,09/04/06,Closed,,Based On Sales Quotations 15. Based On Sales Orders 13. Based On Deliveries 13.,,,
48,AR Invoice,Pri14,,14,24/04/2006,24/05/2006,I,C00007,Hard Disk Seagate 400 GB,,Items,85.24.9111,10,33750,337500,1031162.8,0,BED+VAT,0,0,0,0,0,C60000,SG Electronics,,Lata Darshana,,,Tamil Nadu,Chennai,Karnataka,Bangalore,",67 Grant Ave,560 005,,Bangalore,KT,IN",,,General Warehouse,14,02/04/06,,12/04/06,Closed,,Based On Sales Quotations 16. Based On Sales Orders 14. Based On Deliveries 14.,,,
49,AR Invoice,Pri14,,14,24/04/2006,24/05/2006,I,A00002,IBM Infoprint 1222,,J.B. Printers,84.71.6021,15,13500,202500,1031162.8,0,BED+VAT,0,0,0,0,0,C60000,SG Electronics,,Lata Darshana,,,Tamil Nadu,Chennai,Karnataka,Bangalore,",67 Grant Ave,560 005,,Bangalore,KT,IN",,,General Warehouse,14,02/04/06,,12/04/06,Closed,,Based On Sales Quotations 16. Based On Sales Orders 14. Based On Deliveries 14.,,,
50,AR Invoice,Pri14,,14,24/04/2006,24/05/2006,I,C00004,Tower Case with Power supply,,Items,84.71.3010,10,2362.5,23625,1031162.8,0,BED+VAT,0,0,0,0,0,C60000,SG Electronics,,Lata Darshana,,,Tamil Nadu,Chennai,Karnataka,Bangalore,",67 Grant Ave,560 005,,Bangalore,KT,IN",,,General Warehouse,14,02/04/06,,12/04/06,Closed,,Based On Sales Quotations 16. Based On Sales Orders 14. Based On Deliveries 14.,,,
51,AR Invoice,Pri14,,14,24/04/2006,24/05/2006,I,S10000,Server Point 10000,,Servers,,1,124350,124350,1031162.8,0,CST@4,0,0,0,0,0,C60000,SG Electronics,,Lata Darshana,,,Tamil Nadu,Chennai,Karnataka,Bangalore,",67 Grant Ave,560 005,,Bangalore,KT,IN",,,General Warehouse,14,02/04/06,,12/04/06,Closed,,Based On Sales Quotations 16. Based On Sales Orders 14. Based On Deliveries 14.,,,
52,AR Invoice,Pri14,,14,24/04/2006,24/05/2006,I,C00006,Network Card10/100,,Items,84.71.3010,15,1012.5,15187.5,1031162.8,0,BED+VAT,0,0,0,0,0,C60000,SG Electronics,,Lata Darshana,,,Tamil Nadu,Chennai,Karnataka,Bangalore,",67 Grant Ave,560 005,,Bangalore,KT,IN",,,General Warehouse,14,02/04/06,,12/04/06,Closed,,Based On Sales Quotations 16. Based On Sales Orders 14. Based On Deliveries 14.,,,
53,AR Invoice,Pri14,,14,24/04/2006,24/05/2006,I,A00003,IBM Infoprint 1226,,J.B. Printers,84.71.6021,10,20250,202500,1031162.8,0,BED+VAT,0,0,0,0,0,C60000,SG Electronics,,Lata Darshana,,,Tamil Nadu,Chennai,Karnataka,Bangalore,",67 Grant Ave,560 005,,Bangalore,KT,IN",,,General Warehouse,14,02/04/06,,12/04/06,Closed,,Based On Sales Quotations 16. Based On Sales Orders 14. Based On Deliveries 14.,,,
54,AR Invoice,Pri15,,15,27/04/2006,27/05/2006,I,P10001,"""""PC - P4 2.4G, DDR 512M, 400G HD""",,PC,85.24.9111,2,80875,161750,1929168.29,0,BED+VAT,0,0,0,0,0,C40000,Earthshaker Corporation,,Purushottam Nitya,,,Delhi,New Delhi,West Bengal,Kolkata,",208 Hollywood Ave,700 005,,Kolkata,WB,IN",,,General Warehouse,15,05/04/06,,15/04/06,Closed,,Based On Sales Quotations 17. Based On Sales Orders 15. Based On Deliveries 15.,,,
55,AR Invoice,Pri15,,15,27/04/2006,27/05/2006,I,S10000,Server Point 10000,,Servers,,5,103625,518125,1929168.29,0,CST@4,0,0,0,0,0,C40000,Earthshaker Corporation,,Purushottam Nitya,,,Delhi,New Delhi,West Bengal,Kolkata,",208 Hollywood Ave,700 005,,Kolkata,WB,IN",,,General Warehouse,15,05/04/06,,15/04/06,Closed,,Based On Sales Quotations 17. Based On Sales Orders 15. Based On Deliveries 15.,,,
56,AR Invoice,Pri15,,15,27/04/2006,27/05/2006,I,P10003,PC Set 1,,PC,85.24.9111,5,98000,490000,1929168.29,0,BED+VAT,0,0,0,0,0,C40000,Earthshaker Corporation,,Purushottam Nitya,,,Delhi,New Delhi,West Bengal,Kolkata,",208 Hollywood Ave,700 005,,Kolkata,WB,IN",,,General Warehouse,15,05/04/06,,15/04/06,Closed,,Based On Sales Quotations 17. Based On Sales Orders 15. Based On Deliveries 15.,,,
57,AR Invoice,Pri15,,15,27/04/2006,27/05/2006,I,P10004,PC Set 2,,Items,85.24.9111,5,105875,529375,1929168.29,0,BED+VAT,0,0,0,0,0,C40000,Earthshaker Corporation,,Purushottam Nitya,,,Delhi,New Delhi,West Bengal,Kolkata,",208 Hollywood Ave,700 005,,Kolkata,WB,IN",,,General Warehouse,15,05/04/06,,15/04/06,Closed,,Based On Sales Quotations 17. Based On Sales Orders 15. Based On Deliveries 15.,,,
58,AR Invoice,Pri16,,16,02/05/2006,01/07/2006,I,A00002,IBM Infoprint 1222,,J.B. Printers,84.71.6021,8,11250,90000,205259.18,0,BED+VAT,0,0,0,0,0,C42000,Mashina Corporation,,Pitambar Ratna,,,,,,,,,,General Warehouse,16,10/04/06,,20/04/06,Closed,,Based On Sales Quotations 18. Based On Sales Orders 16. Based On Deliveries 16.,,,
59,AR Invoice,Pri16,,16,02/05/2006,01/07/2006,I,A00003,IBM Infoprint 1226,,J.B. Printers,84.71.6021,5,16875,84375,205259.18,0,BED+VAT,0,0,0,0,0,C42000,Mashina Corporation,,Pitambar Ratna,,,,,,,,,,General Warehouse,16,10/04/06,,20/04/06,Closed,,Based On Sales Quotations 18. Based On Sales Orders 16. Based On Deliveries 16.,,,
60,AR Invoice,Pri17,,17,12/05/2006,11/06/2006,I,LM4029MC,Memory Chip,,Accessories,85.24.9111,10,2812.5,28125,1070290.54,0,BED+VAT,0,0,0,0,0,C50000,ADA Technologies,,Purushottam Nitya,,,Maharashtra,Mumbai,Delhi,New Delhi,",34 Highway 6,110 005,Suite 300,New Delhi,DL,IN",,,General Warehouse,17,20/04/06,,30/04/06,Closed,,Based On Sales Quotations 19. Based On Sales Orders 17. Based On Deliveries 17.,,,
